image_name,class_name,block_index,hex_color,r,g,b,coords
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,0,#b6b6b6,182,182,182,"(646, 167, 662, 175)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,1,#b0b0b0,176,176,176,"(266, 170, 281, 178)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,2,#b1b1b1,177,177,177,"(172, 170, 187, 179)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,3,#9c9c9c,156,156,156,"(77, 171, 93, 179)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,4,#bcbcbc,188,188,188,"(551, 168, 568, 176)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,5,#aeaeae,174,174,174,"(251, 133, 264, 137)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,6,#c5c5c5,197,197,197,"(456, 168, 472, 176)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,7,#b9b9b9,185,185,185,"(361, 169, 376, 177)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,8,#a7a7a7,167,167,167,"(157, 133, 169, 138)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,9,#b7b7b7,183,183,183,"(442, 131, 454, 136)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,10,#b7b7b7,183,183,183,"(346, 132, 359, 136)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,11,#b3b3b3,179,179,179,"(632, 130, 644, 135)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,12,#b1b1b1,177,177,177,"(537, 131, 549, 136)"
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,13,#b7b7b7,183,183,183,"(727, 130, 739, 135)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,0,#b8b8b8,184,184,184,"(646, 166, 662, 175)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,1,#b6b6b6,182,182,182,"(266, 169, 281, 177)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,2,#a3a3a3,163,163,163,"(77, 171, 93, 179)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,3,#c2c2c2,194,194,194,"(456, 168, 472, 176)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,4,#b8b8b8,184,184,184,"(251, 132, 264, 136)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,5,#bfbfbf,191,191,191,"(551, 167, 568, 176)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,6,#b3b3b3,179,179,179,"(172, 170, 187, 178)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,7,#b8b8b8,184,184,184,"(361, 169, 376, 176)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,8,#b0b0b0,176,176,176,"(157, 133, 169, 137)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,9,#b8b8b8,184,184,184,"(727, 129, 739, 134)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,10,#bcbcbc,188,188,188,"(346, 131, 358, 136)"
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,11,#bcbcbc,188,188,188,"(441, 131, 454, 135)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,2,#4c4c4c,76,76,76,"(646, 286, 662, 295)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,3,#565656,86,86,86,"(170, 62, 186, 71)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,4,#4e4e4e,78,78,78,"(645, 59, 661, 67)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,7,#4c4c4c,76,76,76,"(456, 287, 472, 295)"
