image_name,class_name,block_index,hex_color,r,g,b,coords,delta
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,0,#b0b0b0,176,176,176,"(266, 170, 281, 178)",162.81277591147446
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,1,#b1b1b1,177,177,177,"(172, 170, 187, 178)",164.54482671904336
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,2,#b6b6b6,182,182,182,"(646, 167, 662, 175)",173.20508075688772
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,3,#b9b9b9,185,185,185,"(361, 169, 376, 177)",178.40123317959436
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,4,#9c9c9c,156,156,156,"(77, 171, 93, 179)",128.17175976009693
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,5,#c5c5c5,197,197,197,"(456, 168, 472, 176)",199.18584287042088
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,6,#c1c1c1,193,193,193,"(346, 131, 359, 136)",192.25763964014538
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,7,#c2c2c2,194,194,194,"(551, 167, 568, 176)",193.98969044771425
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,8,#a7a7a7,167,167,167,"(157, 133, 169, 138)",147.22431864335456
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,9,#b5b5b5,181,181,181,"(252, 132, 264, 137)",171.47302994931886
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,10,#bfbfbf,191,191,191,"(536, 130, 549, 136)",188.79353802500762
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,11,#b7b7b7,183,183,183,"(442, 131, 454, 136)",174.9371315644566
251107_231658_0000096423_CAM1_NG_bmp.rf.31ef8d9e4d29b7eeb975910869d61888.jpg,incorrect qblock,12,#b3b3b3,179,179,179,"(632, 130, 644, 135)",168.0089283341811
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,0,#b6b6b6,182,182,182,"(266, 169, 281, 177)",173.20508075688772
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,1,#b3b3b3,179,179,179,"(172, 170, 187, 178)",168.0089283341811
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,2,#b8b8b8,184,184,184,"(646, 166, 662, 175)",176.6691823720255
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,3,#aaaaaa,170,170,170,"(77, 170, 93, 179)",152.4204710660612
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,4,#c0c0c0,192,192,192,"(457, 168, 472, 176)",190.5255888325765
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,5,#b4b4b4,180,180,180,"(252, 132, 264, 136)",169.74097914175
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,6,#bcbcbc,188,188,188,"(346, 131, 359, 136)",183.597385602301
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,7,#b8b8b8,184,184,184,"(361, 169, 376, 177)",176.6691823720255
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,8,#b0b0b0,176,176,176,"(157, 133, 169, 137)",162.81277591147446
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,9,#bfbfbf,191,191,191,"(551, 167, 568, 176)",188.79353802500762
251107_232346_0000097776_CAM1_NG_bmp.rf.0232f41899ca5af3ad008ce87c9700cd.jpg,incorrect qblock,10,#b8b8b8,184,184,184,"(442, 131, 454, 135)",176.6691823720255
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,0,#545454,84,84,84,"(265, 61, 281, 70)",3.4641016151377544
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,1,#484848,72,72,72,"(172, 288, 188, 297)",17.320508075688775
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,2,#4d4d4d,77,77,77,"(171, 62, 186, 71)",8.660254037844387
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,3,#4e4e4e,78,78,78,"(645, 59, 661, 67)",6.928203230275509
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,5,#4d4d4d,77,77,77,"(646, 286, 662, 294)",8.660254037844387
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,6,#565656,86,86,86,"(550, 59, 566, 68)",6.928203230275509
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,7,#444444,68,68,68,"(77, 63, 92, 71)",24.24871130596428
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,8,#595959,89,89,89,"(266, 287, 282, 296)",12.12435565298214
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,9,#414141,65,65,65,"(77, 288, 93, 297)",29.444863728670914
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,10,#4f4f4f,79,79,79,"(455, 60, 471, 69)",5.196152422706632
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,11,#414141,65,65,65,"(361, 288, 377, 296)",29.444863728670914
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,13,#5b5b5b,91,91,91,"(456, 286, 472, 295)",15.588457268119896
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,15,#555555,85,85,85,"(551, 286, 568, 295)",5.196152422706632
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,20,#464646,70,70,70,"(360, 61, 375, 69)",20.784609690826528
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,0,#444444,68,68,68,"(648, 82, 663, 90)",24.24871130596428
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,2,#5b5b5b,91,91,91,"(552, 82, 568, 90)",15.588457268119896
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,3,#4d4d4d,77,77,77,"(80, 311, 96, 320)",8.660254037844387
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,4,#5f5f5f,95,95,95,"(362, 83, 378, 92)",22.516660498395403
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,5,#555555,85,85,85,"(269, 311, 285, 320)",5.196152422706632
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,6,#545454,84,84,84,"(457, 83, 473, 91)",3.4641016151377544
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,7,#565656,86,86,86,"(459, 310, 475, 319)",6.928203230275509
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,8,#535353,83,83,83,"(649, 309, 665, 317)",1.7320508075688772
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,9,#4e4e4e,78,78,78,"(364, 311, 380, 319)",6.928203230275509
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,10,#4a4a4a,74,74,74,"(174, 312, 190, 320)",13.856406460551018
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,15,#4b4b4b,75,75,75,"(554, 310, 570, 318)",12.12435565298214
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,18,#5b5b5b,91,91,91,"(267, 84, 283, 93)",15.588457268119896
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,24,#454545,69,69,69,"(79, 86, 95, 95)",22.516660498395403
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,0,#b3b3b3,179,179,179,"(266, 170, 281, 177)",168.0089283341811
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,1,#b2b2b2,178,178,178,"(172, 170, 187, 178)",166.27687752661222
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,2,#b5b5b5,181,181,181,"(646, 167, 662, 175)",171.47302994931886
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,3,#a1a1a1,161,161,161,"(77, 171, 93, 179)",136.8320137979413
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,4,#c0c0c0,192,192,192,"(457, 168, 472, 176)",190.5255888325765
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,5,#bcbcbc,188,188,188,"(361, 169, 376, 177)",183.597385602301
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,6,#b9b9b9,185,185,185,"(346, 132, 358, 136)",178.40123317959436
