filename,Width_in,Height_in,Confidence
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3883,0.1726,0.9362
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3883,0.1726,0.9276
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.2157,0.9263
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.1726,0.9243
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3883,0.2157,0.922
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.1726,0.9192
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3883,0.2157,0.9174
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.9106
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.908
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.1726,0.9056
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.9014
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.2157,0.8991
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3452,0.2157,0.897
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.8889
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.8825
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.8788
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.8768
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.2589,0.1294,0.8736
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.302,0.1294,0.8734
251010_070157_0000043492_CAM1_NG_bmp.rf.0881e97ea26408dae0fadafec321bf37.jpg,0.3883,0.2157,0.8687
