epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.325,1.59843,2.12292,0.81201,0.08442,0.49295,0.47962,0.24538,1.6495,2.23908,0.82652,0.000411036,0.000411036,0.000411036
2,692.636,1.25668,0.8742,0.79077,0.98772,0.46481,0.49212,0.33482,1.08324,0.86609,0.81602,0.00074576,0.00074576,0.00074576
3,1072.69,1.15781,0.77707,0.78554,0.98557,0.46377,0.49115,0.33535,1.10579,0.66198,0.81712,0.000997984,0.000997984,0.000997984
4,1804.2,1.10764,0.71199,0.78613,0.98573,0.46822,0.49097,0.34015,1.05211,0.62306,0.81454,0.00087875,0.00087875,0.00087875
5,2154.51,1.14169,0.69919,0.7844,0.98491,0.46846,0.49426,0.35915,0.92878,0.60776,0.81179,0.000755,0.000755,0.000755
6,2546.22,1.02695,0.63008,0.78339,0.83005,0.48479,0.59419,0.42413,0.8553,0.5071,0.80988,0.00063125,0.00063125,0.00063125
7,2954.33,1.07181,0.60593,0.78081,0.68168,0.57584,0.64027,0.43175,0.94369,0.51852,0.81161,0.0005075,0.0005075,0.0005075
8,3380.94,0.98329,0.56851,0.78175,0.64454,0.674,0.64219,0.47048,0.77074,0.48049,0.80921,0.00038375,0.00038375,0.00038375
9,3808.57,0.93429,0.53967,0.77685,0.70401,0.68929,0.66651,0.48212,0.74054,0.44387,0.80826,0.00026,0.00026,0.00026
10,4263.94,0.86686,0.50734,0.77747,0.73823,0.71256,0.69028,0.50203,0.74157,0.43767,0.8073,0.00013625,0.00013625,0.00013625
