image_name,class_name,r,g,b,Brightness,Width_in,Height_in,Confidence,hex_color
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,89,89,89,89.0,0.36,0.2025,0.9144,#595959
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,83,83,83,83.0,0.36,0.2025,0.8903,#535353
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,79,79,79,79.0,0.36,0.18,0.883,#4f4f4f
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,88,88,88,88.0,0.36,0.2025,0.8756,#585858
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,88,88,88,88.0,0.3375,0.2025,0.8523,#585858
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,96,96,96,96.0,0.3825,0.2025,0.8454,#606060
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,75,75,75,75.0,0.36,0.2025,0.8301,#4b4b4b
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,71,71,71,71.0,0.36,0.18,0.8241,#474747
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,84,84,84,84.0,0.3825,0.2025,0.8229,#545454
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,81,81,81,81.0,0.36,0.2025,0.8162,#515151
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,95,95,95,95.0,0.36,0.2025,0.7829,#5f5f5f
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,72,72,72,72.0,0.36,0.2025,0.6876,#484848
251010_115514_0000080413_CAM1_NG_bmp.rf.57d6b3e3de4f253b447259ab9624cd03.jpg,qblock,89,89,89,89.0,0.36,0.2025,0.6698,#595959
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,89,89,89,89.0,0.3825,0.2025,0.9317,#595959
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,74,74,74,74.0,0.36,0.2025,0.9282,#4a4a4a
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,88,88,88,88.0,0.3825,0.2025,0.9159,#585858
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,77,77,77,77.0,0.36,0.2025,0.9078,#4d4d4d
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,92,92,92,92.0,0.36,0.2025,0.9032,#5c5c5c
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,89,89,89,89.0,0.3825,0.2025,0.8993,#595959
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,75,75,75,75.0,0.36,0.18,0.8859,#4b4b4b
251010_070221_0000043575_CAM1_NG_bmp.rf.7ac5f1b3f301202772a9c938c788f356.jpg,qblock,88,88,88,88.0,0.36,0.2025,0.8794,#585858
