epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7213,1.81031,3.02922,0.84053,0.02845,0.17947,0.05833,0.02988,1.82037,3.36136,0.80444,0.000326241,0.000326241,0.000326241
2,108.547,1.37927,1.03279,0.78767,0.13735,0.69761,0.55418,0.3245,1.31603,2.11803,0.79536,0.000594277,0.000594277,0.000594277
3,155.57,1.23898,0.85571,0.7809,0.92127,0.60065,0.67643,0.404,1.30288,0.85595,0.79197,0.000796312,0.000796312,0.000796312
4,201.679,1.17594,0.73039,0.77633,0.95726,0.63941,0.69113,0.44102,1.2409,0.62116,0.79399,0.000703,0.000703,0.000703
5,249.149,1.15597,0.65814,0.77433,0.70848,0.6566,0.69169,0.46017,1.11742,0.50524,0.78936,0.000604,0.000604,0.000604
6,297.974,1.06226,0.59604,0.77319,0.68478,0.65093,0.67581,0.46829,1.01676,0.4797,0.79018,0.000505,0.000505,0.000505
7,351.603,1.03445,0.56498,0.77143,0.69237,0.66912,0.70045,0.49479,0.9747,0.45785,0.78609,0.000406,0.000406,0.000406
8,405.817,0.98868,0.52574,0.76797,0.70403,0.66084,0.7014,0.50842,0.90225,0.41531,0.78326,0.000307,0.000307,0.000307
9,451.382,0.95553,0.51054,0.76842,0.72048,0.65198,0.70231,0.51309,0.87891,0.44285,0.78242,0.000208,0.000208,0.000208
10,497.516,0.92649,0.49411,0.76575,0.71917,0.63883,0.6928,0.51685,0.84518,0.40097,0.78194,0.000109,0.000109,0.000109
